userid,pwd,email,displayName
kgallagher2,securepasswordlol,k.gallagher@fct.unl.pt,Kevin Gallagher
sduarte,F1n$nVSQ)7js_~w,smd@fct.unl.pt,Sérgio Duarte
sDent,riZv02g5@KkK&pq,s.dent@campus.fct.unl.pt,Stew Dent
wiimole,123456,wiimole@campus.fct.unl.pt,wii mole
user001,123456,user1@campus.fct.unl.pt,User 1
user002,123456,user2@campus.fct.unl.pt,User 2
user003,123456,user3@campus.fct.unl.pt,User 3
user004,123456,user4@campus.fct.unl.pt,User 4
user005,123456,user5@campus.fct.unl.pt,User 5
user006,123456,user6@campus.fct.unl.pt,User 6
user007,123456,user7@campus.fct.unl.pt,User 7
user008,123456,user8@campus.fct.unl.pt,User 8
user009,123456,user9@campus.fct.unl.pt,User 9
user010,123456,user10@campus.fct.unl.pt,User 10
